Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"3529","EMEMORY TECHNOLOGY INC","Information Technology","Equity","13,226,830.27","0.08","13,226,830.27","134,000.00","98.71","Taiwan","Gretai Securities Market","USD","32.93","TWD","-"
"JSWSTEEL","JSW STEEL LTD","Materials","Equity","13,199,541.99","0.08","13,199,541.99","1,258,213.00","10.49","India","National Stock Exchange Of India","USD","86.61","INR","-"
"HTHT","H WORLD GROUP ADR LTD","Consumer Discretionary","Equity","13,188,127.80","0.08","13,188,127.80","414,721.00","31.80","China","NASDAQ","USD","1.00","USD","-"
"TATACONSUM","TATA CONSUMER PRODUCTS LTD","Consumer Staples","Equity","13,159,365.04","0.08","13,159,365.04","1,194,125.00","11.02","India","National Stock Exchange Of India","USD","86.61","INR","-"
"2603","EVERGREEN MARINE CORP (TAIWAN) LTD","Industrials","Equity","13,157,373.77","0.08","13,157,373.77","2,139,324.00","6.15","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"PEO","BANK PEKAO SA","Financials","Equity","13,126,215.93","0.08","13,126,215.93","371,776.00","35.31","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","4.13","PLN","-"
"NAUKRI","INFO EDGE INDIA LTD","Communication","Equity","13,125,156.76","0.08","13,125,156.76","146,715.00","89.46","India","National Stock Exchange Of India","USD","86.61","INR","-"
"267","CITIC LTD","Industrials","Equity","13,105,206.23","0.08","13,105,206.23","11,959,000.00","1.10","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"DLF","DLF LTD","Real Estate","Equity","13,101,074.56","0.08","13,101,074.56","1,514,932.00","8.65","India","National Stock Exchange Of India","USD","86.61","INR","-"
"HKD","HKD CASH","Cash and/or Derivatives","Cash","13,066,531.53","0.08","13,066,531.53","101,709,228.00","12.85","Hong Kong","-","USD","7.78","HKD","-"
"2327","YAGEO CORP","Information Technology","Equity","13,049,407.91","0.08","13,049,407.91","824,680.00","15.82","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"788","CHINA TOWER CORP LTD H","Communication","Equity","13,026,270.72","0.08","13,026,270.72","90,532,000.00","0.14","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"SIEMENS","SIEMENS LTD","Industrials","Equity","12,984,967.78","0.08","12,984,967.78","181,883.00","71.39","India","National Stock Exchange Of India","USD","86.61","INR","-"
"TVSMOTOR","TVS MOTOR COMPANY LTD","Consumer Discretionary","Equity","12,916,732.12","0.08","12,916,732.12","486,135.00","26.57","India","National Stock Exchange Of India","USD","86.61","INR","-"
"402340","SK SQUARE LTD","Industrials","Equity","12,852,530.10","0.08","12,852,530.10","192,570.00","66.74","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"028300","HLB INC","Health Care","Equity","12,834,463.83","0.08","12,834,463.83","240,189.00","53.43","Korea (South)","Korea Exchange (Kosdaq)","USD","1,457.85","KRW","-"
"688","CHINA OVERSEAS LAND INVESTMENT LTD","Real Estate","Equity","12,811,527.31","0.08","12,811,527.31","7,790,960.00","1.64","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"POLICYBZR","PB FINTECH LTD","Financials","Equity","12,784,412.11","0.08","12,784,412.11","642,112.00","19.91","India","National Stock Exchange Of India","USD","86.61","INR","-"
"1140","BANK ALBILAD","Financials","Equity","12,751,520.42","0.08","12,751,520.42","1,252,453.00","10.18","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"SUZLON","SUZLON ENERGY LTD","Industrials","Equity","12,749,859.09","0.08","12,749,859.09","19,427,609.00","0.66","India","National Stock Exchange Of India","USD","86.61","INR","-"
"3045","TAIWAN MOBILE LTD","Communication","Equity","12,635,653.22","0.08","12,635,653.22","3,714,600.00","3.40","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"2319","CHINA MENGNIU DAIRY LTD","Consumer Staples","Equity","12,579,345.96","0.08","12,579,345.96","6,425,000.00","1.96","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"CHOLAFIN","CHOLAMANDALAM INVESTMENT AND FINAN","Financials","Equity","12,475,321.47","0.08","12,475,321.47","859,303.00","14.52","India","National Stock Exchange Of India","USD","86.61","INR","-"
"010140","SAMSUNG HEAVY INDUSTRIES LTD","Industrials","Equity","12,461,926.78","0.08","12,461,926.78","1,341,774.00","9.29","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"2887","TAISHIN FINANCIAL HOLDING LTD","Financials","Equity","12,451,241.19","0.08","12,451,241.19","23,697,303.00","0.53","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"BDO","BDO UNIBANK INC","Financials","Equity","12,434,128.33","0.08","12,434,128.33","5,028,533.00","2.47","Philippines","Philippine Stock Exchange Inc.","USD","58.64","PHP","-"
"9992","POP MART INTERNATIONAL GROUP LTD","Consumer Discretionary","Equity","12,417,582.33","0.08","12,417,582.33","1,103,400.00","11.25","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"ASII","ASTRA INTERNATIONAL","Industrials","Equity","12,416,440.21","0.08","12,416,440.21","41,132,600.00","0.30","Indonesia","Indonesia Stock Exchange","USD","16,365.00","IDR","-"
"9866","NIO CLASS A INC","Consumer Discretionary","Equity","12,410,624.07","0.08","12,410,624.07","2,958,765.00","4.19","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"ADIB","ABU DHABI ISLAMIC BANK","Financials","Equity","12,390,141.40","0.08","12,390,141.40","2,958,972.00","4.19","United Arab Emirates","Abu Dhabi Securities Exchange","USD","3.67","AED","-"
"2313","SHENZHOU INTERNATIONAL GROUP LTD","Consumer Discretionary","Equity","12,362,078.38","0.08","12,362,078.38","1,680,800.00","7.35","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"998","CHINA CITIC BANK CORP LTD H","Financials","Equity","12,323,010.81","0.08","12,323,010.81","18,270,800.00","0.67","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"BRITANNIA","BRITANNIA INDUSTRIES LTD","Consumer Staples","Equity","12,293,049.17","0.08","12,293,049.17","219,327.00","56.05","India","National Stock Exchange Of India","USD","86.61","INR","-"
"066570","LG ELECTRONICS INC","Consumer Discretionary","Equity","12,274,622.08","0.08","12,274,622.08","213,794.00","57.41","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"3037","UNIMICRON TECHNOLOGY CORP","Information Technology","Equity","12,075,746.76","0.08","12,075,746.76","2,800,000.00","4.31","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"BPAC11","BCO BTG PACTUAL UNT SA","Financials","Equity","11,947,478.05","0.08","11,947,478.05","2,400,469.00","4.98","Brazil","XBSP","USD","6.04","BRL","-"
"600900","CHINA YANGTZE POWER LTD A","Utilities","Equity","11,881,875.76","0.08","11,881,875.76","3,001,515.00","3.96","China","Shanghai Stock Exchange","USD","7.33","CNY","-"
"2207","HOTAI MOTOR LTD","Consumer Discretionary","Equity","11,795,709.10","0.08","11,795,709.10","648,380.00","18.19","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"AKBNK.E","AKBANK A","Financials","Equity","11,794,563.18","0.08","11,794,563.18","6,354,723.00","1.86","Turkey","Istanbul Stock Exchange","USD","35.56","TRY","-"
"2382","SUNNY OPTICAL TECHNOLOGY LTD","Information Technology","Equity","11,724,700.83","0.08","11,724,700.83","1,452,100.00","8.07","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"4938","PEGATRON CORP","Information Technology","Equity","11,610,266.61","0.07","11,610,266.61","4,075,414.00","2.85","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"DIB","DB ISLAMIC BANK","Financials","Equity","11,603,983.16","0.07","11,603,983.16","5,830,565.00","1.99","United Arab Emirates","Dubai Financial Market","USD","3.67","AED","-"
"HEROMOTOCO","HERO MOTOCORP LTD","Consumer Discretionary","Equity","11,549,205.89","0.07","11,549,205.89","244,089.00","47.32","India","National Stock Exchange Of India","USD","86.61","INR","-"
"HAR","HARMONY GOLD MINING COMPANY LIMITE","Materials","Equity","11,544,486.96","0.07","11,544,486.96","1,171,518.00","9.85","South Africa","Johannesburg Stock Exchange","USD","18.70","ZAR","-"
"7020","ETIHAD ETISALAT","Communication","Equity","11,536,085.82","0.07","11,536,085.82","771,540.00","14.95","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"SQM.B","SOCIEDAD QUIMICA Y MINERA DE CHILE","Materials","Equity","11,529,521.45","0.07","11,529,521.45","290,616.00","39.67","Chile","Santiago Stock Exchange","USD","1,008.25","CLP","-"
"PRIO3","PETRO RIO SA","Energy","Equity","11,526,323.76","0.07","11,526,323.76","1,629,392.00","7.07","Brazil","XBSP","USD","6.04","BRL","-"
"GODREJCP","GODREJ CONSUMER PRODUCTS LTD","Consumer Staples","Equity","11,416,854.32","0.07","11,416,854.32","832,510.00","13.71","India","National Stock Exchange Of India","USD","86.61","INR","-"
"LUPIN","LUPIN LTD","Health Care","Equity","11,302,388.09","0.07","11,302,388.09","463,242.00","24.40","India","National Stock Exchange Of India","USD","86.61","INR","-"
"DSY","DISCOVERY LTD","Financials","Equity","11,265,487.88","0.07","11,265,487.88","1,108,676.00","10.16","South Africa","Johannesburg Stock Exchange","USD","18.70","ZAR","-"
"096770","SK INNOVATION LTD","Energy","Equity","11,198,978.22","0.07","11,198,978.22","126,758.00","88.35","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"2688","ENN ENERGY HOLDINGS LTD","Utilities","Equity","11,160,153.91","0.07","11,160,153.91","1,619,200.00","6.89","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"MOTHERSON","SAMVARDHANA MOTHERSON INTERNATIONA","Consumer Discretionary","Equity","11,099,571.06","0.07","11,099,571.06","6,360,973.00","1.74","India","National Stock Exchange Of India","USD","86.61","INR","-"
"3017","ASIA VITAL COMPONENTS LTD","Information Technology","Equity","11,090,795.89","0.07","11,090,795.89","689,000.00","16.10","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"ICICIGI","ICICI LOMBARD GENERAL INSURANCE CO","Financials","Equity","11,018,346.35","0.07","11,018,346.35","489,698.00","22.50","India","National Stock Exchange Of India","USD","86.61","INR","-"
"CHILE","BANCO DE CHILE","Financials","Equity","10,957,441.97","0.07","10,957,441.97","93,003,122.00","0.12","Chile","Santiago Stock Exchange","USD","1,008.25","CLP","-"
"IQCD","INDUSTRIES QATAR","Industrials","Equity","10,951,758.29","0.07","10,951,758.29","3,025,444.00","3.62","Qatar","Qatar Exchange","USD","3.64","QAR","-"
"2395","ADVANTECH LTD","Information Technology","Equity","10,899,538.20","0.07","10,899,538.20","983,213.00","11.09","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"1050","BANQUE SAUDI FRANSI","Financials","Equity","10,891,523.93","0.07","10,891,523.93","2,510,135.00","4.34","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"2888","SHIN KONG FINANCIAL HOLDING LTD","Financials","Equity","10,886,489.43","0.07","10,886,489.43","29,746,316.00","0.37","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"EQTL3","EQUATORIAL SA","Utilities","Equity","10,870,374.34","0.07","10,870,374.34","2,355,742.00","4.61","Brazil","XBSP","USD","6.04","BRL","-"
"6446","PHARMAESSENTIA CORP","Health Care","Equity","10,859,060.61","0.07","10,859,060.61","505,000.00","21.50","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"DNP","DINO POLSKA SA","Consumer Staples","Equity","10,674,824.69","0.07","10,674,824.69","101,221.00","105.46","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","4.13","PLN","-"
"5871","CHAILEASE HOLDING LTD","Financials","Equity","10,556,289.58","0.07","10,556,289.58","3,089,521.00","3.42","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"000100","YUHAN CORP","Health Care","Equity","10,515,026.92","0.07","10,515,026.92","114,398.00","91.92","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"1303","NAN YA PLASTICS CORP","Materials","Equity","10,512,976.93","0.07","10,512,976.93","10,505,160.00","1.00","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"BRL","BRL CASH","Cash and/or Derivatives","Cash","10,449,372.58","0.07","10,449,372.58","63,089,132.00","16.56","Brazil","-","USD","6.04","BRL","-"
"TPEIR","PIRAEUS FINANCIAL HOLDINGS SA","Financials","Equity","10,420,305.43","0.07","10,420,305.43","2,342,167.00","4.45","Greece","Athens Exchange S.A. Cash Market","USD","0.97","EUR","-"
"PTTEP.R","PTT EXPLORATION AND PRODUCTION NON","Energy","Equity","10,348,122.75","0.07","10,348,122.75","2,754,039.00","3.76","Thailand","Stock Exchange Of Thailand","USD","34.47","THB","-"
"1080","ARAB NATIONAL BANK","Financials","Equity","10,340,283.58","0.07","10,340,283.58","1,847,464.00","5.60","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"LTIM","LTIMINDTREE LTD","Information Technology","Equity","10,263,920.86","0.07","10,263,920.86","150,919.00","68.01","India","National Stock Exchange Of India","USD","86.61","INR","-"
"GULF.R","GULF ENERGY DEVELOPMENT PCL NON-VO","Utilities","Equity","10,256,304.95","0.07","10,256,304.95","5,940,900.00","1.73","Thailand","Stock Exchange Of Thailand","USD","34.47","THB","-"
"PIDILITIND","PIDILITE INDUSTRIES LTD","Materials","Equity","10,231,388.33","0.07","10,231,388.33","314,977.00","32.48","India","National Stock Exchange Of India","USD","86.61","INR","-"
"032830","SAMSUNG LIFE LTD","Financials","Equity","10,175,817.20","0.07","10,175,817.20","162,841.00","62.49","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"291","CHINA RESOURCES BEER HOLDINGS LTD","Consumer Staples","Equity","10,160,908.02","0.07","10,160,908.02","3,295,500.00","3.08","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"INDUSTOWER","INDUS TOWERS LTD","Communication","Equity","10,138,229.26","0.07","10,138,229.26","2,420,932.00","4.19","India","National Stock Exchange Of India","USD","86.61","INR","-"
"1801","INNOVENT BIOLOGICS INC","Health Care","Equity","10,092,832.05","0.06","10,092,832.05","2,498,000.00","4.04","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"ASURB","GRUPO AEROPORTUARIO DEL SURESTE B","Industrials","Equity","10,032,071.33","0.06","10,032,071.33","367,027.00","27.33","Mexico","Bolsa Mexicana De Valores","USD","20.69","MXN","-"
"5876","SHANGHAI COMMERCIAL LTD","Financials","Equity","10,024,568.39","0.06","10,024,568.39","7,934,229.00","1.26","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"009150","SAMSUNG ELECTRO MECHANICS LTD","Information Technology","Equity","10,021,030.42","0.06","10,021,030.42","113,956.00","87.94","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"GAIL","GAIL INDIA LTD","Utilities","Equity","9,944,820.62","0.06","9,944,820.62","4,759,994.00","2.09","India","National Stock Exchange Of India","USD","86.61","INR","-"
"UNITDSPR","UNITED SPIRITS LTD","Consumer Staples","Equity","9,891,317.75","0.06","9,891,317.75","600,110.00","16.48","India","National Stock Exchange Of India","USD","86.61","INR","-"
"CLS","CLICKS GROUP LTD","Consumer Staples","Equity","9,805,520.81","0.06","9,805,520.81","490,998.00","19.97","South Africa","Johannesburg Stock Exchange","USD","18.70","ZAR","-"
"4904","FAR EASTONE TELECOMMUNICATIONS LTD","Communication","Equity","9,777,172.71","0.06","9,777,172.71","3,613,000.00","2.71","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"ADNOCDRILL","ADNOC DRILLING COMPANY","Energy","Equity","9,766,091.20","0.06","9,766,091.20","6,533,853.00","1.49","United Arab Emirates","Abu Dhabi Securities Exchange","USD","3.67","AED","-"
"BPCL","BHARAT PETROLEUM LTD","Energy","Equity","9,764,550.55","0.06","9,764,550.55","3,091,037.00","3.16","India","National Stock Exchange Of India","USD","86.61","INR","-"
"IMP","IMPALA PLATINUM LTD","Materials","Equity","9,754,251.01","0.06","9,754,251.01","1,846,820.00","5.28","South Africa","Johannesburg Stock Exchange","USD","18.70","ZAR","-"
"SPL","SANTANDER BANK POLSKA SA","Financials","Equity","9,719,557.01","0.06","9,719,557.01","83,781.00","116.01","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","4.13","PLN","-"
"CUMMINSIND","CUMMINS INDIA LTD","Industrials","Equity","9,684,257.68","0.06","9,684,257.68","285,752.00","33.89","India","National Stock Exchange Of India","USD","86.61","INR","-"
"003550","LG CORP","Industrials","Equity","9,665,034.95","0.06","9,665,034.95","192,752.00","50.14","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"9926","AKESO INC","Health Care","Equity","9,650,691.49","0.06","9,650,691.49","1,270,000.00","7.60","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"BVT","BIDVEST GROUP LTD","Industrials","Equity","9,639,648.24","0.06","9,639,648.24","683,547.00","14.10","South Africa","Johannesburg Stock Exchange","USD","18.70","ZAR","-"
"329180","HD HYUNDAI HEAVY INDUSTRIES LTD","Industrials","Equity","9,633,316.18","0.06","9,633,316.18","45,303.00","212.64","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"1378","CHINA HONGQIAO GROUP LTD","Materials","Equity","9,455,489.82","0.06","9,455,489.82","5,804,500.00","1.63","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"THYAO.E","TURK HAVA YOLLARI AO A","Industrials","Equity","9,425,525.05","0.06","9,425,525.05","1,104,347.00","8.53","Turkey","Istanbul Stock Exchange","USD","35.56","TRY","-"
"GOTO","GOTO GOJEK TOKOPEDIA","Consumer Discretionary","Equity","9,416,997.30","0.06","9,416,997.30","1,834,632,866.00","0.01","Indonesia","Indonesia Stock Exchange","USD","16,365.00","IDR","-"
"2324","COMPAL ELECTRONICS INC","Information Technology","Equity","9,415,154.22","0.06","9,415,154.22","8,539,908.00","1.10","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"1093","CSPC PHARMACEUTICAL GROUP LTD","Health Care","Equity","9,387,073.09","0.06","9,387,073.09","16,606,479.00","0.57","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"CGPOWER","CG POWER AND INDUSTRIAL SOLUTIONS","Industrials","Equity","9,373,685.53","0.06","9,373,685.53","1,250,643.00","7.50","India","National Stock Exchange Of India","USD","86.61","INR","-"
"RENT3","LOCALIZA RENT A CAR SA","Industrials","Equity","9,374,694.16","0.06","9,374,694.16","1,859,417.00","5.04","Brazil","XBSP","USD","6.04","BRL","-"
"HAVELLS","HAVELLS INDIA LTD","Industrials","Equity","9,362,664.01","0.06","9,362,664.01","515,119.00","18.18","India","National Stock Exchange Of India","USD","86.61","INR","-"
"168","TSINGTAO BREWERY LTD H","Consumer Staples","Equity","9,356,984.56","0.06","9,356,984.56","1,386,000.00","6.75","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"8210","BUPA ARABIA","Financials","Equity","9,344,187.79","0.06","9,344,187.79","168,717.00","55.38","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"2331","LI NING LTD","Consumer Discretionary","Equity","9,291,953.31","0.06","9,291,953.31","4,715,000.00","1.97","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"VIPS","VIPSHOP HOLDINGS SPONSORED ADS REP","Consumer Discretionary","Equity","9,256,468.92","0.06","9,256,468.92","687,702.00","13.46","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RADL3","RAIA DROGASIL","Consumer Staples","Equity","9,157,258.94","0.06","9,157,258.94","2,604,233.00","3.52","Brazil","XBSP","USD","6.04","BRL","-"
"2912","PRESIDENT CHAIN STORE CORP","Consumer Staples","Equity","9,144,280.27","0.06","9,144,280.27","1,158,000.00","7.90","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"AC*","ARCA CONTINENTAL","Consumer Staples","Equity","9,142,875.76","0.06","9,142,875.76","1,055,536.00","8.66","Mexico","Bolsa Mexicana De Valores","USD","20.69","MXN","-"
"1658","POSTAL SAVINGS BANK OF CHINA LTD H","Financials","Equity","9,100,472.13","0.06","9,100,472.13","15,603,000.00","0.58","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"QFIN","QIFU TECHNOLOGY ADR INC","Financials","Equity","9,052,557.36","0.06","9,052,557.36","235,928.00","38.37","China","NASDAQ","USD","1.00","USD","-"
"HDFCAMC","HDFC ASSET MANAGEMENT COMPANY LTD","Financials","Equity","9,050,680.05","0.06","9,050,680.05","194,470.00","46.54","India","National Stock Exchange Of India","USD","86.61","INR","-"
"ALPHA","ALPHA SERVICES AND HOLDINGS SA","Financials","Equity","9,028,472.49","0.06","9,028,472.49","4,929,503.00","1.83","Greece","Athens Exchange S.A. Cash Market","USD","0.97","EUR","-"
"JBSS3","JBS SA","Consumer Staples","Equity","9,018,000.84","0.06","9,018,000.84","1,608,481.00","5.61","Brazil","XBSP","USD","6.04","BRL","-"
"XP","XP CLASS A INC","Financials","Equity","8,989,622.40","0.06","8,989,622.40","749,760.00","11.99","Brazil","NASDAQ","USD","1.00","USD","-"
"601318","PING AN INSURANCE (GROUP) OF CHINA","Financials","Equity","8,921,350.10","0.06","8,921,350.10","1,323,984.00","6.74","China","Shanghai Stock Exchange","USD","7.33","CNY","-"
"BBSE3","BB SEGURIDADE SA","Financials","Equity","8,919,968.88","0.06","8,919,968.88","1,423,611.00","6.27","Brazil","XBSP","USD","6.04","BRL","-"
"SMPH","SM PRIME HOLDINGS INC","Real Estate","Equity","8,897,919.42","0.06","8,897,919.42","21,210,325.00","0.42","Philippines","Philippine Stock Exchange Inc.","USD","58.64","PHP","-"
"247540","ECOPRO BM LTD","Industrials","Equity","8,847,353.29","0.06","8,847,353.29","99,140.00","89.24","Korea (South)","Korea Exchange (Kosdaq)","USD","1,457.85","KRW","-"
"NRP","NEPI ROCKCASTLE NV","Real Estate","Equity","8,818,197.43","0.06","8,818,197.43","1,190,775.00","7.41","South Africa","Johannesburg Stock Exchange","USD","18.70","ZAR","-"
"KGH","KGHM POLSKA MIEDZ SA","Materials","Equity","8,814,521.52","0.06","8,814,521.52","288,170.00","30.59","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","4.13","PLN","-"
"LPP","LPP SA","Consumer Discretionary","Equity","8,767,347.88","0.06","8,767,347.88","2,315.00","3,787.19","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","4.13","PLN","-"
"836","CHINA RESOURCES POWER LTD","Utilities","Equity","8,763,145.05","0.06","8,763,145.05","3,988,999.00","2.20","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"6030","CITIC SECURITIES COMPANY LTD H","Financials","Equity","8,698,365.23","0.06","8,698,365.23","3,239,600.00","2.69","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"002594","BYD LTD A","Consumer Discretionary","Equity","8,685,367.58","0.06","8,685,367.58","230,112.00","37.74","China","Shenzhen Stock Exchange","USD","7.33","CNY","-"
"1301","FORMOSA PLASTICS CORP","Materials","Equity","8,679,619.63","0.06","8,679,619.63","7,682,280.00","1.13","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"086520","ECOPRO LTD","Industrials","Equity","8,678,667.56","0.06","8,678,667.56","203,085.00","42.73","Korea (South)","Korea Exchange (Kosdaq)","USD","1,457.85","KRW","-"
"1919","COSCO SHIPPING HOLDINGS LTD H","Industrials","Equity","8,676,151.60","0.06","8,676,151.60","5,762,349.00","1.51","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"TIINDIA","TUBE INVESTMENTS OF INDIA LTD","Consumer Discretionary","Equity","8,616,459.30","0.06","8,616,459.30","218,925.00","39.36","India","National Stock Exchange Of India","USD","86.61","INR","-"
"COLPAL","COLGATE PALMOLIVE INDIA LTD","Consumer Staples","Equity","8,612,716.25","0.06","8,612,716.25","277,960.00","30.99","India","National Stock Exchange Of India","USD","86.61","INR","-"
"000858","WULIANGYE YIBIN LTD A","Consumer Staples","Equity","8,593,876.40","0.06","8,593,876.40","476,028.00","18.05","China","Shenzhen Stock Exchange","USD","7.33","CNY","-"
"2376","GIGABYTE TECHNOLOGY LTD","Information Technology","Equity","8,587,386.68","0.06","8,587,386.68","1,122,000.00","7.65","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"JINDALSTEL","JINDAL STEEL AND POWER LTD","Materials","Equity","8,544,754.60","0.05","8,544,754.60","800,369.00","10.68","India","National Stock Exchange Of India","USD","86.61","INR","-"
"GODREJPROP","GODREJ PROPERTIES LTD","Real Estate","Equity","8,517,249.85","0.05","8,517,249.85","306,396.00","27.80","India","National Stock Exchange Of India","USD","86.61","INR","-"
"PMETAL","PRESS METAL ALUMINIUM HOLDINGS","Materials","Equity","8,492,558.81","0.05","8,492,558.81","7,890,200.00","1.08","Malaysia","Bursa Malaysia","USD","4.51","MYR","-"
"3888","KINGSOFT LTD","Communication","Equity","8,459,604.70","0.05","8,459,604.70","1,919,800.00","4.41","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"IOC","INDIAN OIL CORP LTD","Energy","Equity","8,452,690.98","0.05","8,452,690.98","5,716,308.00","1.48","India","National Stock Exchange Of India","USD","86.61","INR","-"
"3606","FUYAO GLASS INDUSTRY GROUP LTD H","Consumer Discretionary","Equity","8,449,486.44","0.05","8,449,486.44","1,249,200.00","6.76","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"POLYCAB","POLYCAB INDIA LTD","Industrials","Equity","8,440,143.33","0.05","8,440,143.33","107,822.00","78.28","India","National Stock Exchange Of India","USD","86.61","INR","-"
"ADANIENT","ADANI ENTERPRISES LTD","Industrials","Equity","8,340,143.17","0.05","8,340,143.17","301,000.00","27.71","India","National Stock Exchange Of India","USD","86.61","INR","-"
"6415","SILERGY CORP","Information Technology","Equity","8,327,208.39","0.05","8,327,208.39","695,000.00","11.98","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"2377","MICRO-STAR INTERNATIONAL LTD","Information Technology","Equity","8,320,602.57","0.05","8,320,602.57","1,522,000.00","5.47","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"6618","JD HEALTH INTERNATIONAL INC","Consumer Staples","Equity","8,303,571.77","0.05","8,303,571.77","2,287,950.00","3.63","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"SRF","SRF LTD","Materials","Equity","8,285,567.80","0.05","8,285,567.80","275,322.00","30.09","India","National Stock Exchange Of India","USD","86.61","INR","-"
"BBNI","BANK NEGARA INDONESIA","Financials","Equity","8,270,019.52","0.05","8,270,019.52","30,277,152.00","0.27","Indonesia","Indonesia Stock Exchange","USD","16,365.00","IDR","-"
"LODHA","MACROTECH DEVELOPERS LTD","Real Estate","Equity","8,268,396.49","0.05","8,268,396.49","608,459.00","13.59","India","National Stock Exchange Of India","USD","86.61","INR","-"
"2356","INVENTEC CORP","Information Technology","Equity","8,250,884.01","0.05","8,250,884.01","5,499,281.00","1.50","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
